genotype,sample,dpi,cytokine,avg_conc,log10_conc
KO,2,9,mdc,14.345,1.156700553
KO,2,6,mdc,11.65,1.066325925
WT,2,9,mdc,10.625,1.026328939
WT,2,0,mdc,9.475,0.976579219
KO,2,0,mdc,6.03,0.780317312
WT,2,9,mig,101.41,2.006080783
KO,2,9,mig,79.905,1.902573956
KO,2,6,mig,34.52,1.538070787
WT,2,6,mig,33.3,1.522444234
WT,2,3,mig,32.18,1.50758604
KO,2,3,mig,11.44,1.058426024
WT,2,12,mig,5.255,0.72057272
KO,2,0,mig,1.4825,0.170994702
WT,2,0,mig,0.965,-0.015472687
WT,2,9,mip1a,21.32,1.3287872
WT,2,6,mip1a,19.405,1.287913647
KO,2,9,mip1a,18.88,1.27600199
WT,2,3,mip1a,10.865,1.036029731
KO,2,6,mip1a,8.845,0.946697837
KO,2,3,mip1a,4.8,0.681241237
KO,2,0,mip1a,1.055,0.02325246
WT,2,0,mip1a,1.055,0.02325246
WT,2,12,mip1a,1.055,0.02325246
WT,2,9,mip1b,200.28,2.301637583
KO,2,9,mip1b,175.895,2.245253494
WT,2,6,mip1b,130.365,2.115161009
KO,2,6,mip1b,63.28,1.80126647
WT,2,3,mip1b,53.6,1.72916479
KO,2,3,mip1b,23.32,1.367728546
WT,2,12,mip1b,10.185,1.007961033
KO,2,0,mip1b,2.4275,0.385159239
WT,2,0,mip1b,2.4275,0.385159239
WT,2,6,mip3a,76.2,1.881954971
WT,2,3,mip3a,50.495,1.703248377
WT,2,9,mip3a,27.34,1.43679851
KO,2,9,mip3a,24.795,1.394364113
KO,2,6,mip3a,19.285,1.285219643
WT,2,12,mip3a,15.495,1.190191581
KO,2,3,mip3a,7.095,0.8509524
WT,2,0,mip3a,3.715,0.569958818
KO,2,0,mip3a,2.81,0.44870632
WT,2,6,rantes,40.67,1.609274172
WT,2,3,rantes,39.62,1.597914471
KO,2,9,rantes,36.14,1.557988148
KO,2,6,rantes,33.005,1.518579737
WT,2,9,rantes,25.78,1.411282913
KO,2,3,rantes,8.755,0.94225615
WT,2,12,rantes,6.39,0.805500858
KO,2,0,rantes,4.285,0.631950826
WT,2,0,rantes,3.175,0.50174373
WT,2,6,tarc,31.815,1.502631928
KO,2,3,tarc,22.49,1.351989455
WT,2,9,tarc,17.825,1.251029539
WT,2,3,tarc,16.56,1.219060332
KO,2,9,tarc,16.215,1.209916953
WT,2,12,tarc,14.75,1.16879202
WT,2,0,tarc,10.495,1.020982443
KO,2,6,tarc,8.76,0.942504106
KO,2,0,tarc,5.145,0.711385379
WT,2,6,tnfa,26.325,1.42036838
WT,2,9,tnfa,24.365,1.386766416
KO,2,9,tnfa,21.03,1.322839273
WT,2,3,tnfa,20.765,1.317331935
KO,2,6,tnfa,18.365,1.263990933
KO,2,3,tnfa,4.915,0.691523522
WT,2,12,tnfa,1.775,0.249198357
KO,2,0,tnfa,0.77,-0.113509275
WT,2,0,tnfa,0.77,-0.113509275
KO,2,0,tslp,7.55,0.877946952
KO,2,3,tslp,7.55,0.877946952
KO,2,6,tslp,7.55,0.877946952
KO,2,9,tslp,7.55,0.877946952
WT,2,0,tslp,7.55,0.877946952
WT,2,3,tslp,7.55,0.877946952
WT,2,6,tslp,7.55,0.877946952
WT,2,9,tslp,7.55,0.877946952
WT,2,12,tslp,7.55,0.877946952
KO,3,3,il9,NA,NA
KO,3,6,il9,NA,NA
KO,3,9,il9,NA,NA
WT,3,3,il9,NA,NA
WT,3,6,il9,NA,NA
WT,3,12,il9,NA,NA
WT,3,9,il9,167.1,2.22297645
KO,3,12,il9,14.285,1.154880245
WT,3,6,blc,2236.78,3.349623271
WT,3,9,blc,1233.85,3.091262365
KO,3,6,blc,987.45,2.994515114
KO,3,9,blc,605.42,2.782056764
KO,3,12,blc,478.725,2.680086108
WT,3,12,blc,202.41,2.306231965
KO,3,3,blc,24.235,1.384443024
WT,3,3,blc,23.295,1.367262715
WT,3,9,eotaxin,70.615,1.848896963
WT,3,6,eotaxin,69.66,1.84298347
KO,3,6,eotaxin,59.94,1.777716739
KO,3,9,eotaxin,46.575,1.668152864
KO,3,12,eotaxin,31.575,1.499343359
WT,3,3,eotaxin,19.525,1.290591043
KO,3,3,eotaxin,19.145,1.282055371
WT,3,12,eotaxin,14.72,1.16790781
WT,3,3,gmcsf,36.85,1.566437492
KO,3,6,gmcsf,28.715,1.458108821
KO,3,3,gmcsf,25.39,1.404662701
WT,3,6,gmcsf,10.0025,1.00010856
KO,3,9,gmcsf,6.455,0.809896247
KO,3,12,gmcsf,6.455,0.809896247
WT,3,9,gmcsf,6.455,0.809896247
WT,3,12,gmcsf,6.455,0.809896247
KO,3,3,ifnb,134.265,2.127962816
WT,3,6,ifnb,112.565,2.051403376
WT,3,3,ifnb,109.71,2.040246215
KO,3,6,ifnb,72.745,1.861803148
KO,3,9,ifnb,4.75,0.67669361
KO,3,12,ifnb,4.75,0.67669361
WT,3,9,ifnb,4.75,0.67669361
WT,3,12,ifnb,4.75,0.67669361
WT,3,12,ifng,NA,NA
WT,3,9,ifng,302.52,2.480754092
KO,3,6,ifng,189.34,2.277242373
KO,3,9,ifng,138.16,2.140382325
KO,3,3,ifng,93.8,1.972202838
WT,3,6,ifng,41.765,1.620812486
WT,3,3,ifng,31.08,1.49248101
KO,3,12,ifng,5.245,0.719745493
WT,3,12,il10,NA,NA
WT,3,9,il10,21.785,1.338157564
KO,3,9,il10,17.425,1.241172787
WT,3,6,il10,5.69,0.755112266
KO,3,3,il10,2.595,0.414137362
KO,3,6,il10,1.435,0.156851901
KO,3,12,il10,0.86,-0.065501549
WT,3,3,il10,0.86,-0.065501549
KO,3,6,il11,29.29,1.466719372
KO,3,9,il11,10.325,1.01389006
KO,3,3,il11,8.1375,0.910491002
KO,3,12,il11,4.565,0.659440782
WT,3,3,il11,4.565,0.659440782
WT,3,6,il11,4.565,0.659440782
WT,3,9,il11,4.565,0.659440782
WT,3,12,il11,4.565,0.659440782
WT,3,6,il12p40,1063.355,3.026678278
KO,3,6,il12p40,604.995,2.781751785
WT,3,12,il12p40,583.29,2.765884531
KO,3,3,il12p40,404.26,2.606660772
KO,3,12,il12p40,300.27,2.477511944
WT,3,3,il12p40,227.84,2.357629972
KO,3,9,il12p40,224.51,2.35123569
WT,3,9,il12p40,141.06,2.14940388
KO,3,3,il12p70,2.21,0.344392274
KO,3,6,il12p70,2.21,0.344392274
KO,3,9,il12p70,2.21,0.344392274
KO,3,12,il12p70,2.21,0.344392274
WT,3,3,il12p70,2.21,0.344392274
WT,3,6,il12p70,2.21,0.344392274
WT,3,9,il12p70,2.21,0.344392274
WT,3,12,il12p70,2.21,0.344392274
WT,3,12,il13,NA,NA
KO,3,3,il13,2.4725,0.3931363
WT,3,9,il13,2.0925,0.320665467
WT,3,6,il13,1.6575,0.219453537
KO,3,6,il13,0.765,-0.116338565
KO,3,9,il13,0.765,-0.116338565
KO,3,12,il13,0.765,-0.116338565
WT,3,3,il13,0.765,-0.116338565
WT,3,12,il17a,NA,NA
KO,3,3,il17a,3.5,0.544068044
KO,3,6,il17a,2.92,0.465382851
WT,3,6,il17a,2.35,0.371067862
WT,3,9,il17a,2.295,0.36078269
WT,3,3,il17a,1.375,0.138302698
KO,3,9,il17a,1.12,0.049218023
KO,3,12,il17a,0.38,-0.420216403
WT,3,12,il17f,NA,NA
WT,3,9,il17f,1.6575,0.219453537
WT,3,6,il17f,1.0025,0.001084381
KO,3,3,il17f,0.445,-0.351639989
KO,3,6,il17f,0.445,-0.351639989
KO,3,9,il17f,0.445,-0.351639989
KO,3,12,il17f,0.445,-0.351639989
WT,3,3,il17f,0.445,-0.351639989
WT,3,3,il1a,48.435,1.685159304
KO,3,3,il1a,43.915,1.642612887
WT,3,6,il1a,29.93,1.476106717
KO,3,6,il1a,25.895,1.413215915
KO,3,9,il1a,10.885,1.036828433
WT,3,9,il1a,4.0925,0.611988688
KO,3,12,il1a,2.685,0.42894429
WT,3,12,il1a,2.685,0.42894429
KO,3,3,il1b,9.385,0.972434277
KO,3,6,il1b,9.385,0.972434277
KO,3,9,il1b,9.385,0.972434277
KO,3,12,il1b,9.385,0.972434277
WT,3,3,il1b,9.385,0.972434277
WT,3,6,il1b,9.385,0.972434277
WT,3,9,il1b,9.385,0.972434277
WT,3,12,il1b,9.385,0.972434277
WT,3,12,il2,NA,NA
WT,3,6,il2,0.725,-0.139661993
KO,3,6,il2,0.485,-0.314258261
KO,3,3,il2,0.31,-0.508638306
KO,3,9,il2,0.31,-0.508638306
KO,3,12,il2,0.31,-0.508638306
WT,3,3,il2,0.31,-0.508638306
WT,3,9,il2,0.31,-0.508638306
WT,3,12,il21,NA,NA
KO,3,3,il21,1.205,0.080987047
KO,3,6,il21,1.205,0.080987047
KO,3,9,il21,1.205,0.080987047
KO,3,12,il21,1.205,0.080987047
WT,3,3,il21,1.205,0.080987047
WT,3,6,il21,1.205,0.080987047
WT,3,9,il21,1.205,0.080987047
WT,3,12,il22,NA,NA
WT,3,9,il22,5.46,0.737192643
KO,3,3,il22,4.79,0.680335513
WT,3,6,il22,4.725,0.674401813
WT,3,3,il22,3.22,0.507855872
KO,3,9,il22,2.455,0.390051496
KO,3,6,il22,0.935,-0.029188389
KO,3,12,il22,0.57,-0.244125144
WT,3,3,il23,11.25,1.051152522
KO,3,3,il23,1.59,0.201397124
KO,3,6,il23,1.59,0.201397124
KO,3,9,il23,1.59,0.201397124
KO,3,12,il23,1.59,0.201397124
WT,3,6,il23,1.59,0.201397124
WT,3,9,il23,1.59,0.201397124
WT,3,12,il23,1.59,0.201397124
KO,3,9,il27,21.73,1.337059726
KO,3,6,il27,9.855,0.993656629
KO,3,3,il27,5.29,0.723455672
KO,3,12,il27,5.29,0.723455672
WT,3,3,il27,5.29,0.723455672
WT,3,6,il27,5.29,0.723455672
WT,3,9,il27,5.29,0.723455672
WT,3,12,il27,5.29,0.723455672
WT,3,12,il3,11.15,1.047274867
KO,3,3,il3,1.485,0.171726454
KO,3,6,il3,1.485,0.171726454
KO,3,9,il3,1.485,0.171726454
KO,3,12,il3,1.485,0.171726454
WT,3,3,il3,1.485,0.171726454
WT,3,6,il3,1.485,0.171726454
WT,3,9,il3,1.485,0.171726454
KO,3,6,il33,5.0825,0.706077387
KO,3,3,il33,3.1175,0.493806462
KO,3,9,il33,1.695,0.229169703
KO,3,12,il33,1.695,0.229169703
WT,3,3,il33,1.695,0.229169703
WT,3,6,il33,1.695,0.229169703
WT,3,9,il33,1.695,0.229169703
WT,3,12,il33,1.695,0.229169703
WT,3,12,il4,NA,NA
KO,3,3,il4,1.845,0.26599637
WT,3,9,il4,0.88,-0.055517328
WT,3,3,il4,0.875,-0.057991947
WT,3,6,il4,0.71,-0.148741651
KO,3,6,il4,0.34,-0.468521083
KO,3,9,il4,0.34,-0.468521083
KO,3,12,il4,0.34,-0.468521083
WT,3,12,il5,NA,NA
WT,3,6,il5,17.26,1.237040791
KO,3,3,il5,8.955,0.95206559
KO,3,6,il5,8.78,0.943494516
KO,3,9,il5,3.385,0.529558673
WT,3,3,il5,3.335,0.523095838
KO,3,12,il5,0.97,-0.013228266
WT,3,9,il5,0.97,-0.013228266
WT,3,12,il6,NA,NA
WT,3,6,il6,780.5,2.892372907
KO,3,6,il6,648.245,2.811739176
KO,3,3,il6,550.72,2.740930849
WT,3,3,il6,281.735,2.449840803
KO,3,9,il6,54.835,1.739057848
WT,3,9,il6,46.28,1.66539335
KO,3,12,il6,33.58,1.526080692
WT,3,3,il7,4.52,0.655138435
KO,3,6,il7,3.63,0.559906625
KO,3,3,il7,2.1575,0.333950804
KO,3,9,il7,1.205,0.080987047
KO,3,12,il7,1.205,0.080987047
WT,3,6,il7,1.205,0.080987047
WT,3,9,il7,1.205,0.080987047
WT,3,12,il7,1.205,0.080987047
WT,3,6,ip10,335.91,2.526222933
KO,3,6,ip10,304.02,2.482902155
KO,3,3,ip10,221.855,2.346069221
WT,3,9,ip10,218.405,2.339262577
WT,3,3,ip10,140.46,2.147552664
KO,3,9,ip10,91.42,1.961041217
KO,3,12,ip10,37.925,1.578925589
WT,3,12,ip10,18.255,1.261381837
WT,3,3,kc,78.01,1.892150278
WT,3,6,kc,53.97,1.732152418
KO,3,3,kc,41.385,1.61684296
KO,3,6,kc,37.615,1.575361066
KO,3,12,kc,21.49,1.332236415
WT,3,12,kc,16.18,1.208978517
KO,3,9,kc,7.925,0.898999271
WT,3,9,kc,5.36,0.72916479
WT,3,6,lix,311.175,2.493004698
KO,3,6,lix,239.33,2.378997141
WT,3,9,lix,233.68,2.368621544
KO,3,9,lix,140.945,2.149049674
KO,3,12,lix,127.985,2.107159073
WT,3,12,lix,70.99,1.851197176
WT,3,3,lix,19.925,1.29939833
KO,3,3,lix,17.495,1.242913947
WT,3,6,mcp1,308.68,2.489508492
KO,3,6,mcp1,220.81,2.344018738
WT,3,9,mcp1,140.665,2.148186051
KO,3,12,mcp1,139.68,2.145134226
KO,3,9,mcp1,84.665,1.927703913
WT,3,3,mcp1,60.825,1.784082118
WT,3,12,mcp1,56.43,1.75151005
KO,3,3,mcp1,53.86,1.731266349
WT,3,6,mdc,54.125,1.733397909
KO,3,3,mdc,37.685,1.57616852
KO,3,12,mdc,25.675,1.409510452
WT,3,3,mdc,24.615,1.39119984
WT,3,12,mdc,20.61,1.314077992
KO,3,6,mdc,15.665,1.194930399
KO,3,9,mdc,14.745,1.168644777
WT,3,9,mdc,9.825,0.992332559
WT,3,9,mig,120.115,2.079597246
KO,3,9,mig,67.495,1.829271602
WT,3,6,mig,49.42,1.693902741
KO,3,3,mig,42.3,1.626340367
KO,3,6,mig,31.41,1.497067936
KO,3,12,mig,26.93,1.430236353
WT,3,12,mig,17.325,1.238673243
WT,3,3,mig,14.2,1.152288344
WT,3,6,mip1a,21.47,1.331832044
KO,3,6,mip1a,19.88,1.29841638
WT,3,9,mip1a,14.29,1.155032229
KO,3,3,mip1a,13.055,1.115776876
KO,3,9,mip1a,12.905,1.110758009
WT,3,3,mip1a,9.32,0.969415912
KO,3,12,mip1a,8.225,0.915135907
WT,3,12,mip1a,3.42,0.534026106
WT,3,6,mip1b,227.595,2.357162717
KO,3,6,mip1b,188.56,2.27544957
WT,3,9,mip1b,178.115,2.250700495
KO,3,9,mip1b,115.945,2.064252025
KO,3,12,mip1b,90.61,1.95717613
KO,3,3,mip1b,63.015,1.799443941
WT,3,12,mip1b,38.64,1.587037118
WT,3,3,mip1b,27.33,1.436639632
KO,3,6,mip3a,120.515,2.081041105
WT,3,6,mip3a,104.895,2.020754787
WT,3,3,mip3a,47.14,1.673389578
KO,3,3,mip3a,37.515,1.574204951
WT,3,12,mip3a,36.63,1.563836919
KO,3,12,mip3a,34.255,1.534723972
KO,3,9,mip3a,23.065,1.362953459
WT,3,9,mip3a,13.54,1.131618664
KO,3,6,rantes,69.465,1.84176604
WT,3,6,rantes,60.24,1.779884963
KO,3,3,rantes,49.21,1.692053365
WT,3,3,rantes,44.945,1.652681385
KO,3,9,rantes,30.12,1.478854968
KO,3,12,rantes,24.19,1.383635868
WT,3,9,rantes,20.09,1.302979937
WT,3,12,rantes,14.78,1.169674434
WT,3,6,tarc,74.015,1.869319743
KO,3,6,tarc,28.86,1.460296327
KO,3,3,tarc,26.9,1.42975228
WT,3,3,tarc,25.335,1.403720909
KO,3,12,tarc,22.555,1.353242831
WT,3,12,tarc,22.235,1.347037134
WT,3,9,tarc,13.87,1.142076461
KO,3,9,tarc,10.22,1.009450896
WT,3,12,tnfa,NA,NA
WT,3,6,tnfa,42.165,1.624952105
KO,3,9,tnfa,26.37,1.42111013
KO,3,6,tnfa,25.655,1.409172019
WT,3,9,tnfa,23.34,1.368100852
KO,3,3,tnfa,18.94,1.277379975
WT,3,3,tnfa,14.555,1.16301221
KO,3,12,tnfa,8.42,0.925312091
KO,3,12,tslp,147.205,2.167922562
KO,3,3,tslp,7.55,0.877946952
KO,3,6,tslp,7.55,0.877946952
KO,3,9,tslp,7.55,0.877946952
WT,3,3,tslp,7.55,0.877946952
WT,3,6,tslp,7.55,0.877946952
WT,3,9,tslp,7.55,0.877946952
WT,3,12,tslp,7.55,0.877946952
KO,4,9,il9,NA,NA
WT,4,3,il9,NA,NA
WT,4,6,il9,NA,NA
WT,4,9,il9,NA,NA
KO,4,3,il9,212.895,2.328165462
KO,4,6,il9,167.45,2.223885152
WT,4,12,il9,85.82,1.93358851
KO,4,12,il9,73.19,1.864451747
KO,4,9,blc,1083.65,3.034889035
WT,4,9,blc,808.045,2.907435547
WT,4,6,blc,771.065,2.88709099
KO,4,12,blc,443.67,2.647060064
KO,4,6,blc,100.34,2.001474097
WT,4,12,blc,95.24,1.978819387
KO,4,3,blc,32.43,1.510946949
WT,4,3,blc,10.97,1.040206628
WT,4,6,eotaxin,77.515,1.889385751
WT,4,9,eotaxin,58.16,1.764624398
KO,4,9,eotaxin,55.23,1.742175043
KO,4,12,eotaxin,31.195,1.49408499
KO,4,3,eotaxin,23.34,1.368100852
KO,4,6,eotaxin,15.2,1.181843588
WT,4,12,eotaxin,14.335,1.156397697
WT,4,3,eotaxin,13.665,1.135609636
WT,4,3,gmcsf,19.32,1.286007122
KO,4,3,gmcsf,17.72,1.248463718
WT,4,6,gmcsf,10.0025,1.00010856
KO,4,6,gmcsf,6.455,0.809896247
KO,4,9,gmcsf,6.455,0.809896247
KO,4,12,gmcsf,6.455,0.809896247
WT,4,9,gmcsf,6.455,0.809896247
WT,4,12,gmcsf,6.455,0.809896247
KO,4,3,ifnb,143.28,2.156185573
WT,4,6,ifnb,127.78,2.106462884
WT,4,3,ifnb,42.1,1.624282096
KO,4,12,ifnb,35.31,1.547897718
KO,4,6,ifnb,24.98,1.397592434
KO,4,9,ifnb,4.75,0.67669361
WT,4,9,ifnb,4.75,0.67669361
WT,4,12,ifnb,4.75,0.67669361
WT,4,9,ifng,NA,NA
KO,4,6,ifng,1157.645,3.0635754
WT,4,6,ifng,289.37,2.461453504
KO,4,3,ifng,209.925,2.322064162
KO,4,9,ifng,153.13,2.185060283
WT,4,3,ifng,34.095,1.532690695
KO,4,12,ifng,10.255,1.010935665
WT,4,12,ifng,2.79,0.445604203
WT,4,9,il10,NA,NA
KO,4,9,il10,19,1.278753601
KO,4,12,il10,8.925,0.950608225
KO,4,6,il10,7.41,0.869818208
WT,4,6,il10,6.785,0.831549852
KO,4,3,il10,0.86,-0.065501549
WT,4,3,il10,0.86,-0.065501549
WT,4,12,il10,0.86,-0.065501549
KO,4,6,il11,10.22,1.009450896
KO,4,3,il11,4.565,0.659440782
KO,4,9,il11,4.565,0.659440782
KO,4,12,il11,4.565,0.659440782
WT,4,3,il11,4.565,0.659440782
WT,4,6,il11,4.565,0.659440782
WT,4,9,il11,4.565,0.659440782
WT,4,12,il11,4.565,0.659440782
WT,4,6,il12p40,1061.39,3.025874992
KO,4,6,il12p40,820.13,2.913882698
KO,4,3,il12p40,543.6,2.735279448
KO,4,12,il12p40,393.175,2.594585895
WT,4,12,il12p40,281.86,2.450033448
WT,4,9,il12p40,241.315,2.382584318
KO,4,9,il12p40,163.41,2.21327863
WT,4,3,il12p40,140.105,2.146453634
KO,4,3,il12p70,2.21,0.344392274
KO,4,6,il12p70,2.21,0.344392274
KO,4,9,il12p70,2.21,0.344392274
KO,4,12,il12p70,2.21,0.344392274
WT,4,3,il12p70,2.21,0.344392274
WT,4,6,il12p70,2.21,0.344392274
WT,4,9,il12p70,2.21,0.344392274
WT,4,12,il12p70,2.21,0.344392274
WT,4,9,il13,NA,NA
KO,4,9,il13,3.73,0.571708832
KO,4,6,il13,2.09,0.320146286
KO,4,12,il13,2.0575,0.313339844
WT,4,6,il13,1.6225,0.210184705
KO,4,3,il13,1.1975,0.078275522
WT,4,3,il13,0.765,-0.116338565
WT,4,12,il13,0.765,-0.116338565
WT,4,9,il17a,NA,NA
KO,4,6,il17a,2.85,0.45484486
KO,4,3,il17a,1.935,0.286680969
WT,4,3,il17a,1.85,0.267171728
KO,4,12,il17a,1.785,0.25163822
WT,4,6,il17a,1.545,0.188928484
KO,4,9,il17a,0.585,-0.232844134
WT,4,12,il17a,0.38,-0.420216403
WT,4,9,il17f,NA,NA
KO,4,12,il17f,1.8325,0.263043983
WT,4,6,il17f,0.7475,-0.126388803
KO,4,3,il17f,0.445,-0.351639989
KO,4,6,il17f,0.445,-0.351639989
KO,4,9,il17f,0.445,-0.351639989
WT,4,3,il17f,0.445,-0.351639989
WT,4,12,il17f,0.445,-0.351639989
KO,4,3,il1a,51.995,1.715961583
WT,4,3,il1a,30.745,1.487774497
WT,4,6,il1a,28.96,1.461798558
KO,4,6,il1a,16.715,1.223106381
WT,4,9,il1a,12.22,1.087071206
KO,4,9,il1a,7.7,0.886490725
KO,4,12,il1a,2.685,0.42894429
WT,4,12,il1a,2.685,0.42894429
KO,4,3,il1b,9.385,0.972434277
KO,4,6,il1b,9.385,0.972434277
KO,4,9,il1b,9.385,0.972434277
KO,4,12,il1b,9.385,0.972434277
WT,4,3,il1b,9.385,0.972434277
WT,4,6,il1b,9.385,0.972434277
WT,4,9,il1b,9.385,0.972434277
WT,4,12,il1b,9.385,0.972434277
WT,4,9,il2,NA,NA
KO,4,6,il2,0.915,-0.038578906
WT,4,6,il2,0.47,-0.327902142
KO,4,3,il2,0.31,-0.508638306
KO,4,9,il2,0.31,-0.508638306
KO,4,12,il2,0.31,-0.508638306
WT,4,3,il2,0.31,-0.508638306
WT,4,12,il2,0.31,-0.508638306
WT,4,9,il21,NA,NA
KO,4,12,il21,2.3725,0.375206221
KO,4,3,il21,1.205,0.080987047
KO,4,6,il21,1.205,0.080987047
KO,4,9,il21,1.205,0.080987047
WT,4,3,il21,1.205,0.080987047
WT,4,6,il21,1.205,0.080987047
WT,4,12,il21,1.205,0.080987047
WT,4,9,il22,NA,NA
KO,4,12,il22,6.6,0.819543936
KO,4,3,il22,5.105,0.707995746
KO,4,6,il22,4.77,0.678518379
WT,4,6,il22,3.53,0.547774705
WT,4,3,il22,2.615,0.417471693
WT,4,12,il22,1.81,0.257678575
KO,4,9,il22,1.165,0.066325925
WT,4,3,il23,12.545,1.098470666
KO,4,3,il23,4.365,0.639984248
KO,4,6,il23,2.61,0.416640507
KO,4,9,il23,1.59,0.201397124
KO,4,12,il23,1.59,0.201397124
WT,4,6,il23,1.59,0.201397124
WT,4,9,il23,1.59,0.201397124
WT,4,12,il23,1.59,0.201397124
KO,4,6,il27,20.835,1.318793505
KO,4,3,il27,5.29,0.723455672
KO,4,9,il27,5.29,0.723455672
KO,4,12,il27,5.29,0.723455672
WT,4,3,il27,5.29,0.723455672
WT,4,6,il27,5.29,0.723455672
WT,4,9,il27,5.29,0.723455672
WT,4,12,il27,5.29,0.723455672
KO,4,3,il3,1.485,0.171726454
KO,4,6,il3,1.485,0.171726454
KO,4,9,il3,1.485,0.171726454
KO,4,12,il3,1.485,0.171726454
WT,4,3,il3,1.485,0.171726454
WT,4,6,il3,1.485,0.171726454
WT,4,9,il3,1.485,0.171726454
WT,4,12,il3,1.485,0.171726454
KO,4,6,il33,5.065,0.70457945
WT,4,6,il33,3.2675,0.514215596
KO,4,3,il33,2.8325,0.452169919
WT,4,3,il33,2.5575,0.407815642
KO,4,9,il33,1.695,0.229169703
KO,4,12,il33,1.695,0.229169703
WT,4,9,il33,1.695,0.229169703
WT,4,12,il33,1.695,0.229169703
WT,4,9,il4,NA,NA
KO,4,6,il4,8.695,0.939269586
WT,4,6,il4,3.955,0.597146488
KO,4,3,il4,3.255,0.512550993
KO,4,12,il4,0.69,-0.161150909
KO,4,9,il4,0.635,-0.197226275
WT,4,3,il4,0.34,-0.468521083
WT,4,12,il4,0.34,-0.468521083
WT,4,9,il5,NA,NA
KO,4,3,il5,30.46,1.483729899
KO,4,6,il5,28.335,1.452323217
WT,4,6,il5,21.06,1.323458367
KO,4,9,il5,4.44,0.64738297
KO,4,12,il5,1.81,0.257678575
WT,4,3,il5,0.97,-0.013228266
WT,4,12,il5,0.97,-0.013228266
WT,4,9,il6,NA,NA
KO,4,6,il6,884.07,2.946486653
KO,4,3,il6,681.21,2.833281015
WT,4,6,il6,488.425,2.688797885
WT,4,3,il6,177.705,2.249699648
KO,4,12,il6,65.485,1.816141832
KO,4,9,il6,28.515,1.455073376
WT,4,12,il6,10.47,1.019946682
KO,4,3,il7,9.5,0.977723605
WT,4,6,il7,7.59,0.880241776
KO,4,6,il7,1.205,0.080987047
KO,4,9,il7,1.205,0.080987047
KO,4,12,il7,1.205,0.080987047
WT,4,3,il7,1.205,0.080987047
WT,4,9,il7,1.205,0.080987047
WT,4,12,il7,1.205,0.080987047
WT,4,6,ip10,360.785,2.557248473
KO,4,6,ip10,283.345,2.452315553
KO,4,3,ip10,175.615,2.244561608
WT,4,9,ip10,170.395,2.231456847
KO,4,9,ip10,103.045,2.013026924
WT,4,3,ip10,98.235,1.992266249
KO,4,12,ip10,44.43,1.647676313
WT,4,12,ip10,4.32,0.635483747
KO,4,6,kc,78.3,1.893761762
WT,4,6,kc,57.325,1.758344063
KO,4,3,kc,40.31,1.605412798
KO,4,12,kc,18.705,1.271957713
WT,4,3,kc,15.675,1.19520755
WT,4,9,kc,7.595,0.880527778
WT,4,12,kc,5.905,0.771219902
KO,4,9,kc,5.84,0.766412847
KO,4,9,lix,229.71,2.361179902
WT,4,6,lix,204.625,2.310958692
WT,4,9,lix,183.785,2.264310063
KO,4,12,lix,118.475,2.073626717
KO,4,6,lix,71.425,1.853850249
WT,4,12,lix,36.79,1.565729788
KO,4,3,lix,31.585,1.499480881
WT,4,3,lix,14.49,1.161068385
WT,4,6,mcp1,225.315,2.352790105
KO,4,9,mcp1,157.595,2.197542435
KO,4,12,mcp1,136.085,2.133810258
WT,4,9,mcp1,133.25,2.124667218
KO,4,6,mcp1,91.945,1.963528117
KO,4,3,mcp1,73.3,1.865103975
WT,4,3,mcp1,19.04,1.279666944
WT,4,12,mcp1,18.465,1.266349312
WT,4,6,mdc,43.805,1.641523685
KO,4,3,mdc,41.475,1.617786395
KO,4,6,mdc,40.88,1.611510887
KO,4,12,mdc,27.415,1.43798825
WT,4,3,mdc,19.98,1.300595484
WT,4,12,mdc,18.995,1.278639298
WT,4,9,mdc,15.12,1.179551791
KO,4,9,mdc,13.895,1.142858551
WT,4,9,mig,104.13,2.017575868
KO,4,6,mig,73.98,1.869114327
KO,4,9,mig,72.21,1.858597345
WT,4,6,mig,45.345,1.656529406
KO,4,3,mig,40.335,1.605682061
WT,4,3,mig,38.67,1.587374172
KO,4,12,mig,29.31,1.467015818
WT,4,12,mig,7.5,0.875061263
WT,4,6,mip1a,21.79,1.33825723
KO,4,9,mip1a,17.655,1.246867722
WT,4,9,mip1a,15.95,1.202760687
KO,4,6,mip1a,15.375,1.186815124
WT,4,3,mip1a,11.945,1.077186154
KO,4,3,mip1a,11.24,1.050766311
KO,4,12,mip1a,7.685,0.885643872
WT,4,12,mip1a,1.9625,0.292809665
WT,4,6,mip1b,173.06,2.238196699
KO,4,9,mip1b,164.53,2.216245098
WT,4,9,mip1b,145.44,2.162683866
KO,4,6,mip1b,88.075,1.944852652
KO,4,12,mip1b,86.67,1.937868797
KO,4,3,mip1b,52.11,1.716921073
WT,4,3,mip1b,37.55,1.574609941
WT,4,12,mip1b,20.75,1.317018101
WT,4,6,mip3a,88.68,1.947825684
KO,4,3,mip3a,61.28,1.787318757
KO,4,12,mip3a,31.665,1.500579492
KO,4,9,mip3a,30.16,1.479431337
KO,4,6,mip3a,28.11,1.448860846
WT,4,12,mip3a,26.15,1.417471693
WT,4,3,mip3a,15.7,1.195899652
WT,4,9,mip3a,14.01,1.146438135
KO,4,3,rantes,62.775,1.797786721
WT,4,6,rantes,57.55,1.760045328
